name,value,label
BYLALULB,286,"Bayerische Landesbank, Niederlassung Luxemburg"
CRESLULX,338,CREDIT SUISSE AG LUXEMBOURG BRANCH
BEMOLUL1,140,"Banque de l'Europe Méridionale, succursale de Luxembourg"
BPCPLULL,134,"Banque de Commerce et de Placements S.A., Genève (Suisse), succursale de Luxembourg (formerly Banque de Commerce et de Placements S.A., succursale de Luxembourg)"
IBLULULL,361,Banque de Patrimoines Privés
BLUXLULL,008,Banque de Luxembourg S.A.
BCEELULL,001,"Banque et Caisse d’Epargne de l’Etat, Luxembourg"
CCRALULL,009,Banque Raiffeisen
PULALULL,323,Banque Puilaetco Dewaay Luxembourg S.A.
BYLALULL,068,Banque LBLux S.A.
HAVLLULL,318,Banque Havilland S.A.
POALLULL,117,"Banque Hapoalim (Suisse) S.A., Zurich (Suisse), succursale de Luxembourg (formerly Banque Hapoalim (Suisse) S.A., succursale de Luxembourg)"
BSAFLULL,148,Banque J. Safra Sarasin (Luxembourg) SA (formerly Banque Safra-Luxembourg S.A.)
POALLUL2,226,Banque Hapoalim (Luxembourg) S.A.
CARNLULL,264,Banque Carnegie Luxembourg S.A.
DEGRLULL,155,Banque Degroof Petercam Luxembourg S.A. (formerly Banque Degroof Luxembourg S.A.)
BMECLULL,025,Banque BCP S.A.
BILLLULL,002,Banque Internationale à Luxembourg
FVLBLULL,177,Bankinter Luxembourg S.A. (formerly Van Lanschot Bankiers (Luxembourg) S.A.)
COMMLULL,390,Bank of Communications (Luxembourg) S.A.
SAFRLULL,371,"Banco Safra S.A., Luxembourg branch"
GAZPLULL,379,Bank GPB International S.A. (formerly GPB International S.A.)
BKCHLULL,116,"Bank of China Limited, Pékin (République Populaire de Chine), Luxembourg Branch (formerly Bank of China Limited Luxembourg Branch)"
BKCHLUL1,222,Bank of China (Luxembourg) S.A.
ARLULUL1,213,Argentabank Luxembourg S.A.
LUMILULL,288,Bank Leumi (Luxembourg) S.A.
BACALULL,360,Andbank Luxembourg
GRVRLULL,284,Banco Popolare Luxembourg S.A.
ADVZLUL1,344,Advanzia Bank S.A.
ABOCLULL,392,Agricultural Bank of China (Luxembourg) S.A.
ABOCLULB,393,"Agricultural Bank of China, Luxembourg Branch"
ABNALU2A,162,ABN Amro Bank (Luxembourg) S.A.
