branch_name,swift_code
Volker Wessels Stevin Financial Services Bv,VWFSNL2RXXX
Yapi Kredi Bank Nederland N.V.,KABANL2AXXX
Unilever Finance International Bv,BFOFNL2RXXX
Ubs Bank (Netherlands) B.V.,UBSWNL2AXXX
Mars Nederland B.V.,TWIXNL22XXX
Amsterdam Brokers B.v.,AMBRNL21XXX
Amstel Funds En Asset Management B.v.,AFAMNL21XXX
Amstel Securities N.v.,AMSSNL21XXX
Amstel Capital Management B.v.,ACMGNL21XXX
Amro Securities,AMRSNL21XXX
Alpinvest Partners N.v.,ALPPNL21XXX
Amoptions Trading Viii B.v.,ATRVNL21XXX
Allianz Nederland Asset Management Bv,ANAANL21XXX
All Options International Bv,AOINNL21XXX
All Energy Trading Bv,AETRNL21XXX
Agrigento Bassa B.v.,AGBSNL21XXX
Afs Vermogensbeheer Bv,AFSVNL21XXX
Afs Moneybrokers B.v.,AFMONL21XXX
Afs Capital Markets B.v.,AFCRNL21XXX
Afs Capital Management B.v.,ACMNNL21XXX
Afs Brokers B.v.,AFBRNL21XXX
Aex-agricultural Futures Exchange,XAEXNL21XXX
B.a. Van Doorn En Comp B.v.,DCOMNL21XXX
Bakkenist En Emmens N.v.,BKEMNL21XXX
Azl Vermogensbeheer B.v.,AZLVNL21XXX
Avero Bancaire Diensten N.v.,AVBDNL21XXX
Attica Vermogensbeheer B.v.,ATVENL21XXX
Asw,ASWANL21XXX
Aster-x Capital Management B.v,ASCENL21XXX
Asset Enhancement Group B.v.,ASEGNL21XXX
Aot Securities B.v.,AOSENL21XXX
Argenta Spaarbank-bijkantoor Nederland,ARSNNL21XXX
Arcos Dorados Bv,ADBVNL2AXXX
Asahi Bank (nederland) N.v.,ASNENL21XXX
Aot Stockspecialist B.v.,AOTSNL21XXX
Anthos Asset Management B.v.,AAEMNL21XXX
Andropan Asset Management B.v.,AAMMNL21XXX
Amstgeld Nv,AMSGNL21XXX
Aespen Futures Bv,AESPNL21XXX
Amsterdamse Effectenbeurs,XAMSNL21XXX
Aegon Financiele Diensten B.v.,AEFDNL21XXX
Amsterdams Effectenkantoor B.v.,AMEFNL21XXX
Amsterdam International Bank And Trust Company B.v.,AITONL21XXX
Amsterdam Commodity Exchange,XACENL21XXX
Aegon Investment Management B.v.,AEIMNL21XXX
Better Options Llp,BOLPNL21XXX
Bergshoeff Options B.v.,BEOPNL21XXX
Berben's Effectenkantoor B.v.,BEFENL21XXX
Bens International Trading B.v.,BITDNL21XXX
Bene Trading Bv,BTRDNL21XXX
Belastingdienst/particulieren/ondernemingen Buitenland/wir,BEOUNL21XXX
Belastingdienst/centrale Douane-administratie,BEDONL21XXX
Belastingdienst/centrale Betalingsadministratie Sector Cca,BBSCNL21XXX
Beer En Van Stapele B.v.,BETPNL21XXX
"Bary Securities N.v., De",BAYRNL21XXX
Barclays Bank Plc Amsterdam Branch,BARCNL21XXX
Bank Voor Zeeland N.v.,ZEELNL21XXX
Bank Ten Cate And Cie Nv,TECTNL21XXX
Bank Oyens En Van Eeghen Nv,OYENNL21XXX
Bank Of Taiwan (europe) N.v.,TAIPNL21XXX
Lab,BNYMNL22DNB
"Bank Of New York Mellon Sa/nv, Amsterdam Branch",BNYMNL22XXX
Bank Labouchere N.v.,LABCNL21XXX
Bank Bercoop N.v.,BEOONL21XXX
Banco Do Estado De Sao Paolo S.a.,ESAONL21XXX
Banco Exterior De Espana Sa,EXESNL21XXX
Bzw Nederland Nv,BZWNNL21XXX
Bustelberg Effectenkantoor B.v.,BEFTNL21XXX
Box Consultants B.v.,BOXCNL21XXX
Bouwfonds Reim B.v.,BOWRNL21XXX
Bouwfonds Asset Management B.v.,BOSMNL21XXX
Boris Trading B.v.,BOTRNL21XXX
Borghols B.v.,BORHNL21XXX
Bondsspaarbank Voor De Eemsmond N.v.,BOEMNL21XXX
Booking.com,BOOKNL2AXXX
Boer En Olij Effectenhuis,BOOENL21XXX
Bnp Paribas S.a.-the Netherlands Branch,BNPANL2HNMC
Bnp Paribas Obam N.v,BNAONL21XXX
Bnp Paribas Investment Partners Netherlands Nv,FIAHNL21XXX
Bnp Paribas Bank Nv,BNPANL22XXX
Bng Capital Management B.v.,BCMTNL21XXX
Blue Sky Group B.v.,BLSGNL21XXX
Blg Wonen,BLGWNL21XXX
Blackrock (netherlands) B.v.,BLNENL21XXX
Chiao Tung Bank Europe N.v.,CHTUNL21XXX
Centercross B.v.,CENCNL21XXX
Cmv Bank B.v.,CMVCNL21XXX
Ciba Specialty Chemicals Treasury Service Bv,CIBNNL21XXX
Clearnet Amsterdam,CLIQNL21XXX
Cho Option Traders B.v.,CHOTNL21XXX
Charterhouse Vermogensbeheer B.v.,CHVENL21XXX
Cebulon Vof,CEVONL21XXX
Cebulon Options B.v.,CEOPNL21XXX
Cdk Bank N.v.,CDKBNL21XXX
Cargill Bv,CRGINL21XXX
Cardif Schadeverzekeringen Nv,CACZNL21XXX
Cardif Levensverzekeringen Nv,CARZNL21XXX
Cardano Structuring B.v.,CADUNL21XXX
Cardano Risk Management B.v.,CRKMNL21XXX
Calimero Trading B.v.,CTRDNL21XXX
Caerus Iii B.v.,CAERNL21XXX
Caerus Ii B.v.,CEERNL21XXX
C.e. De Bruin Vermogensbeheer B.v.,BRVENL21XXX
Caceis Netherlands,FNETNL21XXX
Bezemer Clements Schipper Vermogensbeheer B.v.,BCSVNL21XXX
Beusmans Capital Management B.v.,BCMNNL21XXX
Degiro B.v.,HIQANL21XXX
Deep Blue Capital B.v.,DEBCNL21XXX
De Waerdt Vermogensbeheer B.v.,WAVENL21XXX
