name,value,label
BCOEESMM,3166,"Caixa R. Les Coves de Vinroma, S.C.C.V."
CCRIES2A,3045,"Caixa R. Altea, C.C.V."
BCOEESMM,3070,"Caixa R. Galega, S.C.C.L.G."
BCOEESMM,3162,"Caixa R. Benicarló, S.C.C.V."
BCOEESMM,3117,Caixa R. D'Algemesí. S.C.V.C.
BCOEESMM,3111,"Caixa R. La Vall S. Isidro, S.C.C.V."
BCOEESMM,3159,"Caixa Popular-Caixa Rural, S.C.C.V."
CCRIES2A,3186,"Caixa R. Albalat Dels Sorells, C.C.V."
CRCGESB1,1451,"Caisse Régionale Crédit Agricole Mutuel Sud Med, S.E."
BMCEESMM,0219,"Banque Marocaine Commerce Extérieur Internat.,S.A."
BKOAES22,0138,"Bankoa, S.A."
PSABESM1,1463,"Banque PSA Finance, S.E."
BPLCESMM,0152,"Barclays Bank plc, S.E."
AHCRESVV,0099,"Bankia Banca Privada, S.A."
BARCESMM,0065,"Barclays Bank, S.A."
POPLESMM,0229,"Bancopopular-E, S.A."
BKBKESMM,0128,"Bankinter, S.A."
BAOFESM1,0125,"Bancofar, S.A."
CAHMESMM,2038,"Bankia, S.A."
NACNESMM,0169,"Banco de la Nación Argentina, S.E."
BOFAES2X,1485,"Bank of America Merrill Lynch International Limited (formerly Bank of America, National Association, S.E.)"
PRNEESM1,0132,"Banco de Promoción de Negocios, S.A. (Promobanc)"
VALEESVV,0093,"Banco de Valencia, S.A."
BRASESMM,0155,"Banco do Brasil, AG., S.E (formerly Banco do Brasil, S.A., S.E)"
MADRESMM,0059,"Banco de Madrid, S.A."
BDEPESM1,0003,"Banco de Depósitos, S.A."
BCCAESMM,0240,"Banco de Crédito Social Cooperativo, S.A."
CECAESMM,0115,"Banco de Castilla-La Mancha, S.A."
ALACESM1,0091,"Banco de Albacete, S.A."
CSPAES2L,2108,"Banco de Caja España de Inversiones, Salamanca y Soria, SA"
BSABESBB,0081,"Banco de Sabadell, S.A."
OCBAESM1,0121,"Banco Occidental, S.A."
