name,value,label
REVIFRPP,17649,Banque Revillon
BSAOFR21,13579,Banque Saint-Olive
BPETFRP1,13539,Banque Solfea
SBAAFRPP,17779,Banque SBA
TARNFR2L,10558,Banque Tarneaud
RALPFR2G,10468,Banque Rhône-Alpes - Groupe Crédit du Nord
POUYFR21,11989,Banque Pouyanne
BNUGFR21,13489,Banque Nuger
BSPFFRPP,40978,Banque Palatine
NSMBFRPP,30788,Banque Neuflize OBC
BMISFRPP,18569,Banque Misr
BAMYFR22,17959,Banque Michel Inchauspé - BAMI
BMRZFR21,13379,Banque Marze
PSABFRPP,13168,Banque PSA finance
BMMMFRCP,13369,Banque Martin - Maurel
FIPIFRP1,21990,Banque Leonardo (formerly V.P.Finance S.A)
LAYDFR2W,10228,Banque Laydernier
FIDCFR21,13179,Banque Fiducial
HRFRFRP1,11438,Banque Hottinguer (formerly Société financière HR)
KOLBFR21,13259,Banque Kolb
EDELFRP1,13149,Banque Edel SNC
BESVFRPP,43659,Banque Espirito Santo et de la Vénétie
BDUPFR2S,12939,Banque Dupuy de Parseval
DELUFR22,12879,Banque Delubac et Cie (formerly Delubac et Cie)
COURFR2T,10268,Banque Courtois - successeurs de l'ancienne maison Courtois et Cie depuis 1760
BCHAFR21,10188,Banque Chalus
CHAIFR2A,10178,Banque Chaix
BCIBFRP1,24659,Banque Chabrières
ALTRFRP1,43030,Banque Degroof Petercam France (formerly Banque Degroof & Philippe)
BCDMFRPP,41439,Banque Chaabi du Maroc
BIARFRPP,12179,Banque BIA (formerly Banque Intercontinentale Arabe (B.I.A.))
BACCFR22,12869,Banque Accord
BKIDFRPP,14879,Bank of India
BTEJFRPP,17579,Bank Tejarat
SEPBFRPP,17799,Bank Sepah
BSIRFRPP,44269,Bank Saderat Iran
PKOPFRPP,41239,Bank Polska Kasa Opieki Spolka Akcyjna
BOFAFRPP,41219,Bank of America Merrill Lynch international limited (formerly Bank of America National Association)
BKCHFRPP,18769,Bank of China limited
AUDIFRPP,18089,Bank Audi France (formerly Bank Audi Saradar France)
BSABFRPP,19229,Banco de Sabadell
BRASFRPP,41139,Banco do Brasil AG (formerly Banco do brasil)
BREUFR22,14818,Banca regionale Europea S.p.A.
CRGEFR2X,12088,Banca Carige S.p.A - Cassa di risparmio di Genova e Imperia
BSCHFRPP,44729,Banco Santander SA
BBVAFRPP,41189,"Banco Bilbao Vizcaya Argentaria (BBVA) (formerly Banco Bilbao Vizcaya Argentaria, SA Paris Br)"
BBPIFRPP,12589,Banco BPI
BMCEFRPP,12249,BMCE Bank international plc
BGFIFRPP,16158,BGFI International
BEMOFRPP,17619,BEMO EUROPE - BANQUE PRIVEE (formerly Banque de l'europe meridionale - bemo)
AXABFRPP,12548,Axa banque
BPCEFRPP,16188,BPCE
BREDFRPP,10107,BRED - Banque populaire
AUXPFR21,13558,Auxifip
BCMAFRPP,23890,Attijariwafa bank europe
PROCFRPP,16298,Arkéa banking services
AECFFR21,16820,American Express carte France
LICOFRPP,41829,Al Khaliji France
AGFBFRCC,12240,Allianz banque
AARBFRP1,18989,Aareal bank AG (formerly AAREAL BANK AG)
