name,value,label
CRFEIT3FXXX,06150,CR di Fermo Spa
CFERIT2FXXX,06155,CR di Ferrara Spa
CRFIIT3FXXX,06160,CR di Firenze Spa
CRFUIT3FXXX,06165,CR di Foligno Spa
CRIFIT2FXXX,06170,CR di Fossano Spa
CRLOIT3LXXX,06195,CR di Loreto Spa
BPALIT3LXXX,06200,CR di Lucca Pisa Livorno Spa
CRPPIT2PXXX,06230,CR di Parma e Piacenza Spa
CRFIIT3PXXX,06260,CR di Pistoia e Pescia Spa
CRRAIT2RXXX,06270,CR di Ravenna Spa
CRRIIT22XXX,06280,CR di Rieti Spa
CRSAIT22XXX,06295,CR di Saluzzo Spa
CRSPIT3SXXX,06315,CR di Spoleto Spa
TERNIT3TXXX,06380,CR di Terni e Narni Spa
IBSPIT2VXXX,06345,CR di Venezia Spa
CRVOIT3VXXX,06370,CR di Volterra Spa
IBSPIT2BXXX,06385,CR in Bologna Spa
ACARIT22XXX,08430,CRA di Cantù BCC Scrl
CIMTITR1XXX,36000,Cartalis Istituto di Moneta Elettronica Spa
CCRTIT2TXXX,03599,Cassa Centrale Banca - Credito Cooperativo del Nord Est Spa
RZSBIT2BXXX,03493,Cassa Centrale Raiffeisen dell'Alto Adige Spa
CADPITRRXXX,07602,Cassa Depositi e Prestiti Spa
LOMCITMMXXX,03488,Cassa Lombarda Spa
IBSPIT2FXXX,06010,Cassa dei Risparmi di Forlì e della Romagna Spa
CECRIT2CXXX,06120,Cassa di Risp. di Cesena S.P.A.
BPCCITM1XXX,10633,Centrobanca Banca di Credito Finanziario e Mobiliare Spa
MICSITM1XXX,03058,Chebanca! S.P.A.
CITIITMXSEC,03566,Citibank Na
COBAITMMXXX,03095,Commerzbank AG
BSUIITMMXXX,03432,Credit Agricole Corporate & Investment Bank
CRESITMMXXX,03089,Credit Suisse (Italy) Spa
CSFBITMMXXX,03040,Credit Suisse AG
CREBIT22XXX,03336,Credito Bergamasco Spa
BACRIT22XXX,03032,Credito Emiliano Spa
CSRFITR1XXX,05824,Csr fra Il Personale della Banca d'Italia Soc. Coop. per Azioni
DPFAITRRXXX,03230,Depfa Bank plc
DEUTITMMUNP,03104,Deutsche Bank Spa
CROPITRRXXX,03030,Dexia Crediop Spa
BPALITRDXXX,10632,Efibanca Spa
ARABITRRXXX,03006,Europe Arab Bank plc - Milan Branch
FCEFITR1XXX,03009,Fce Bank plc
IBFIITMMXXX,10685,Ge Capital S.P.A.
MIDLITMXXXX,03021,Hsbc Bank plc
HAABIT2UXXX,03011,Hypo Alpe Adria Bank Spa
IBLBITRRXXX,03263,Ibl Istituto Bancario del Lavoro Spa
ICRAITRRXXX,08000,Iccrea Banca Spa Istituto Centrale del Credito Cooperativo
IMPAITR1XXX,03403,Imprebanca S.P.A.
INGBITMMXXX,03475,Ing Bank NV
INGDITM1XXX,03169,Ing Direct NV
BCITITMMXXX,03069,Intesa Sanpaolo Spa
NVESITRRXXX,03017,Invest Banca Spa
CIPBITMMXXX,05000,Istituto Centrale delle Banche Popolari Italiane Spa
ISCSITRRTES,10630,Istituto per Il Credito Sportivo - Ente di Diritto Pubblico
IWBKITMMXXX,03165,Iw Bank Spa
JPMGITMMXXX,03370,J.P. Morgan International Bank Limited
CHASITMXXXX,03494,Jpmorgan Chase Bank
KSPKIT2UXXX,03329,Karntner Sparkasse Aktiengesellschaft
MPBKITM1XXX,03143,Maple Bank GmbH
BAMEITMMMIL,10631,Mediobanca Spa
LIORITMMXXX,10008,Meliorbanca Spa
MELYITM1XXX,03057,Merrill Lynch International Bank Ltd Milan Branch
MHCBITMMXXX,03346,Mizuho Corporate Bank Limited
MSITITMXXXX,03162,Morgan Stanley Bank International Ltd Milan Branch
BFCEITMMXXX,03189,Natixis S.A.
LJBAIT2TXXX,03018,Nova Ljubljanska Banka Dd Ljubljana
BILLITMMXXX,03321,Rbc Dexia Investor Services Bank SA
SFSPIT22XXX,05652,Sanfelice 1893 Banca Popolare Società Cooperativa per Azioni
FICUITTTXXX,03191,Santander Consumer Bank Spa
SERAIT31XXX,03338,Serfina Banca Spa
TWOSITMMXXX,03307,Societè Generale Securities Services S.P.A.
IRVTITMMXXX,03351,The Bank of New York Mellon (Luxembourg) S.A.
BOTKITMXXXX,03487,The Bank of Tokyo - Mitsubishi Ufj
ABNAITMMXXX,03003,The Royal Bank of Scotland N.V.
RBOSITMMXXX,03206,The Royal Bank of Scotland plc
UBSWITMMXXX,03041,Ubs (Italia) Spa
BAECIT2BXXX,03127,Ugf Banca S.P.A.
HYVEIT22XXX,03081,Unicredit Bank AG
UNCRITMMXXX,02008,Unicredit
BLOPIT22XXX,03111,Unione di Banche Italiane Società Cooperativa per Azioni
VEBHIT2MXXX,05035,Veneto Banca S.C.P.A.
VOWAITMMXXX,03105,Volkswagen Bank GmbH
WEBNITMMXXX,03402,Webank S.P.A.
WLBEITM2XXX,03175,Westlb AG
